,station,net_traffic,pct_total,borough,gtfs_longitude,gtfs_latitude,geometry
340,ditmas_av,35681.0,0.0005349268669923632,Bk,-73.978172,40.636119,POINT (-73.978172 40.636119)
341,225_st,34859.0,0.0005226035048481486,Bx,-73.860341,40.888022,POINT (-73.860341 40.888022)
342,beverly_rd,33944.0,0.0005088858937022162,Bk,-73.948959,40.645098,POINT (-73.948959 40.645098)
343,zerega_av,33803.0,0.0005067720323125151,Bx,-73.847036,40.836488,POINT (-73.847036 40.836488)
344,55_st,33345.0,0.0004999057307771742,Bk,-73.995476,40.631435,POINT (-73.995476 40.631435)
345,nereid_av,33106.0,0.0004963226607620072,Bx,-73.854376,40.898379,POINT (-73.854376 40.898379)
346,219_st,32426.0,0.0004861281519322432,Bx,-73.862633,40.883895,POINT (-73.862633 40.883895)
347,whitlock_av,31693.0,0.0004751390710907477,Bx,-73.886283,40.826525,POINT (-73.886283 40.826525)
348,burke_av,31612.0,0.0004739247251860258,Bx,-73.867164,40.871356,POINT (-73.867164 40.871356)
349,morris_park,31393.0,0.00047064149366585185,Bx,-73.860495,40.854364,POINT (-73.860495 40.854364)
350,newark_c,29566.0,0.0004432512471482361,Bk,-73.948411,40.639967,POINT (-73.948411 40.639967)
351,rit_roosevelt,28135.0,0.00042179780283148284,M,-73.95326,40.759145,POINT (-73.95326 40.759145)
352,238_st,28045.0,0.0004204485296040141,Bx,-73.90087,40.884667,POINT (-73.90087 40.884667)
353,cypress_hills,27885.0,0.00041804982164406966,Bk,-73.87255,40.689941,POINT (-73.87255 40.689941)
354,middletown_rd,27208.0,0.0004079002885885547,Bx,-73.836322,40.843863,POINT (-73.836322 40.843863)
355,aqueduct_n.cond,26576.0,0.0003984253921467741,Q,-73.834058,40.668234,POINT (-73.834058 40.668234)
356,atlantic_av,25662.0,0.00038472277292559136,Bk,-73.903097,40.675345,POINT (-73.903097 40.675345)
357,75_av,25277.0,0.000378950881896975,Q,-73.837324,40.718331,POINT (-73.837324 40.718331)
358,baychester_av,25249.0,0.00037853110800398476,Bx,-73.838591,40.878663,POINT (-73.838591 40.878663)
359,bronx_park_east,24260.0,0.00036370409442657806,Bx,-73.868457,40.848828,POINT (-73.868457 40.848828)
360,21_st,24119.0,0.000361590233036877,Q,-73.949724,40.744065,POINT (-73.949724 40.744065)
361,beach_36_st,22760.0,0.0003412162073020988,Q,-73.768175,40.595398,POINT (-73.768175 40.595398)
362,avenue_n,22707.0,0.00034042163529036717,Bk,-73.974197,40.61514,POINT (-73.974197 40.61514)
363,avenue_p,19872.0,0.0002979195286251014,Bk,-73.973022,40.608944,POINT (-73.973022 40.608944)
364,e_143_st_mary's,19574.0,0.00029345193504970484,Bx,-73.907657,40.808719,POINT (-73.907657 40.808719)
365,avenue_x,18254.0,0.00027366259438016307,Bk,-73.97425,40.58962,POINT (-73.97425 40.58962)
366,beach_44_st,17992.0,0.000269734710095754,Q,-73.776013,40.592943,POINT (-73.776013 40.592943)
367,215_st,17135.0,0.00025688663058530154,M,-73.915279,40.869444,POINT (-73.915279 40.869444)
368,rockaway_park_b,16051.0,0.00024063538415667785,Bk,-73.911946,40.67834,POINT (-73.911946 40.67834)
369,beach_90_st,14195.0,0.00021281037182132218,Q,-73.813641,40.588034,POINT (-73.813641 40.588034)
370,aqueduct_racetr,14071.0,0.0002109513731523652,Q,-73.835919,40.672097,POINT (-73.835919 40.672097)
371,avenue_i,14026.0,0.00021027673653863083,Bk,-73.976127,40.625322,POINT (-73.976127 40.625322)
372,neptune_av,12705.0,0.00019047240394433942,Bk,-73.974574,40.581011,POINT (-73.974574 40.581011)
373,beach_98_st,10232.0,0.00015339737403844794,Q,-73.820558,40.585307,POINT (-73.820558 40.585307)
374,tompkinsville,5791.0,8.681823622523964e-05,SI,-74.074835,40.636949,POINT (-74.074835 40.636949)
375,beach_105_st,5022.0,7.52894460927566e-05,Q,-73.827559,40.583209,POINT (-73.827559 40.583209)
376,broad_channel,4380.0,6.566463040347947e-05,Q,-73.815925,40.608382,POINT (-73.815925 40.608382)
377,clark_st,0.0,0.0,Bk,-73.993086,40.697466,POINT (-73.993086 40.697466)
